n time
2 0.000006
7 0.000004
12 0.000006
17 0.000012
22 0.000012
27 0.000014
32 0.000017
37 0.000019
42 0.000022
47 0.000032
52 0.000028
57 0.000031
62 0.000034
67 0.000037
72 0.000073
77 0.000043
82 0.000046
87 0.000049
92 0.000054
97 0.000055
102 0.000058
107 0.000063
112 0.000064
117 0.000067
122 0.000072
127 0.000073
132 0.000076
137 0.000121
142 0.000082
147 0.000085
152 0.000096
157 0.000095
162 0.000100
167 0.000121
172 0.000104
177 0.000112
182 0.000107
187 0.000111
192 0.000117
197 0.000116
202 0.000123
207 0.000123
212 0.000129
217 0.000129
222 0.000133
227 0.000138
232 0.000139
237 0.000142
242 0.000148
247 0.000152
252 0.000162
257 0.000155
262 0.000160
267 0.000188
272 0.000182
277 0.000168
282 0.000176
287 0.000174
292 0.000178
297 0.000184
302 0.000187
307 0.000188
312 0.000191
317 0.000197
322 0.000201
327 0.000201
332 0.000203
337 0.000209
342 0.000210
347 0.000216
352 0.000219
357 0.000222
362 0.000227
367 0.000229
372 0.000234
377 0.000241
382 0.000239
387 0.000242
392 0.000246
397 0.000250
402 0.000253
407 0.000256
412 0.000259
417 0.000263
422 0.000267
427 0.000269
432 0.000274
437 0.000277
442 0.000279
447 0.000282
452 0.000286
457 0.000290
462 0.000292
467 0.000300
472 0.000301
477 0.000304
482 0.000307
487 0.000309
492 0.000314
497 0.000443
502 0.000322
507 0.000328
512 0.000346
517 0.000329
522 0.000336
527 0.000336
532 0.000339
537 0.000342
542 0.000347
547 0.000349
552 0.000364
557 0.000358
562 0.000361
567 0.000364
572 0.000558
577 0.000370
582 0.000374
587 0.000376
592 0.000380
597 0.000401
602 0.000387
607 0.000393
612 0.000393
617 0.000398
622 0.000402
627 0.000405
632 0.000409
637 0.000411
642 0.000420
647 0.000420
652 0.000425
657 0.000425
662 0.000429
667 0.000433
672 0.000436
677 0.000439
682 0.000441
687 0.000443
692 0.000448
697 0.000450
702 0.000454
707 0.000459
712 0.000465
717 0.000465
722 0.000478
727 0.000573
732 0.000475
737 0.000481
742 0.000485
747 0.000485
752 0.000488
757 0.000506
762 0.000499
767 0.000500
772 0.000503
777 0.000505
782 0.000509
787 0.000511
792 0.000522
797 0.000529
802 0.000526
807 0.000533
812 0.000872
817 0.000531
822 0.000537
827 0.000538
832 0.000546
837 0.000547
842 0.000551
847 0.000619
852 0.000560
857 0.000575
862 0.000566
867 0.000567
872 0.000576
877 0.000576
882 0.000579
887 0.000580
892 0.000584
897 0.000588
902 0.000592
907 0.000594
912 0.000598
917 0.000615
922 0.000608
927 0.000610
932 0.000612
937 0.000617
942 0.000621
947 0.000623
952 0.000627
957 0.000629
962 0.000635
967 0.000636
972 0.000698
977 0.000654
982 0.000651
987 0.000652
992 0.000660
997 0.000657
1002 0.000661
1007 0.000664
1012 0.000668
1017 0.000704
1022 0.000678
1027 0.002239
1032 0.001708
1037 0.001465
1042 0.001261
1047 0.001161
1052 0.001020
1057 0.001001
1062 0.000811
1067 0.000711
1072 0.000796
1077 0.000713
1082 0.000718
1087 0.000731
1092 0.000729
1097 0.000726
1102 0.000732
1107 0.000735
1112 0.000737
1117 0.000742
1122 0.000745
1127 0.000747
1132 0.000790
1137 0.000759
1142 0.000763
1147 0.000763
1152 0.000768
1157 0.000771
1162 0.000773
1167 0.000777
1172 0.000780
1177 0.000785
1182 0.000789
1187 0.000788
1192 0.000814
1197 0.001619
1202 0.000807
1207 0.000881
1212 0.000812
1217 0.000846
1222 0.000824
1227 0.000821
1232 0.000823
1237 0.000826
1242 0.000828
1247 0.000835
1252 0.000838
1257 0.000841
1262 0.000840
1267 0.000848
1272 0.000957
1277 0.000858
1282 0.000860
1287 0.000862
1292 0.000864
1297 0.000868
1302 0.000881
1307 0.000875
1312 0.000880
1317 0.000896
1322 0.000884
1327 0.000948
1332 0.000895
1337 0.000896
1342 0.000900
1347 0.000901
1352 0.000907
1357 0.000910
1362 0.000939
1367 0.000917
1372 0.000924
1377 0.000940
1382 0.000926
1387 0.000932
1392 0.000935
1397 0.000940
1402 0.000942
1407 0.000945
1412 0.000949
1417 0.000967
1422 0.000957
1427 0.001064
1432 0.000963
1437 0.000972
1442 0.000968
1447 0.000973
1452 0.000977
1457 0.000980
1462 0.000984
1467 0.000991
1472 0.000994
1477 0.000994
1482 0.000999
1487 0.001002
1492 0.001004
1497 0.001008
1502 0.001012
1507 0.001030
1512 0.001019
1517 0.001022
1522 0.001090
1527 0.001031
1532 0.001033
1537 0.001037
1542 0.001042
1547 0.001043
1552 0.001050
1557 0.001050
1562 0.001058
1567 0.001060
1572 0.001182
1577 0.001065
1582 0.001070
1587 0.001072
1592 0.001078
1597 0.001092
1602 0.001084
1607 0.001084
1612 0.001092
1617 0.001160
1622 0.001102
1627 0.001101
1632 0.001107
1637 0.001108
1642 0.001111
1647 0.001114
1652 0.001117
1657 0.001120
1662 0.001333
1667 0.001184
1672 0.001144
1677 0.001284
1682 0.001251
1687 0.001620
1692 0.001276
1697 0.001195
1702 0.001168
1707 0.001284
1712 0.001289
1717 0.001166
1722 0.001221
1727 0.001223
1732 0.001184
1737 0.001353
1742 0.001274
1747 0.001198
1752 0.001189
1757 0.001203
1762 0.001195
1767 0.001203
1772 0.001228
1777 0.001208
1782 0.001372
1787 0.001243
1792 0.001224
1797 0.001231
1802 0.001225
1807 0.001251
