n 2time
2 0.000009
7 0.000013
12 0.000014
17 0.000025
22 0.000025
27 0.000036
32 0.000038
37 0.000045
42 0.000046
47 0.000052
52 0.000096
57 0.000069
62 0.000078
67 0.000128
72 0.000083
77 0.000087
82 0.000093
87 0.000113
92 0.000195
97 0.000218
102 0.000152
107 0.000162
112 0.000158
117 0.000137
122 0.000142
127 0.000149
132 0.000156
137 0.000242
142 0.000170
147 0.000176
152 0.000181
157 0.000188
162 0.000211
167 0.000199
172 0.000222
177 0.000256
182 0.000220
187 0.000227
192 0.000232
197 0.000239
202 0.000245
207 0.000251
212 0.000258
217 0.000264
222 0.000271
227 0.000277
232 0.000372
237 0.000329
242 0.000298
247 0.000320
252 0.000329
257 0.000330
262 0.000328
267 0.000330
272 0.000337
277 0.000344
282 0.000349
287 0.000356
292 0.000363
297 0.000370
302 0.000376
307 0.000382
312 0.000389
317 0.000396
322 0.000402
327 0.000412
332 0.000415
337 0.000425
342 0.000430
347 0.000435
352 0.000442
357 0.000448
362 0.000460
367 0.000462
372 0.000484
377 0.000475
382 0.000482
387 0.000489
392 0.000539
397 0.000503
402 0.000508
407 0.000516
412 0.000523
417 0.000528
422 0.000535
427 0.000542
432 0.000547
437 0.000556
442 0.000579
447 0.000569
452 0.000576
457 0.000583
462 0.000590
467 0.000709
472 0.000603
477 0.000608
482 0.000614
487 0.000622
492 0.000630
497 0.000636
502 0.000642
507 0.000649
512 0.000655
517 0.000661
522 0.000669
527 0.000676
532 0.000735
537 0.000699
542 0.000696
547 0.000704
552 0.000716
557 0.000717
562 0.000724
567 0.000731
572 0.000738
577 0.000744
582 0.000752
587 0.000757
592 0.000765
597 0.000771
602 0.000778
607 0.000785
612 0.000793
617 0.000813
622 0.000806
627 0.000812
632 0.000817
637 0.000825
642 0.000833
647 0.000838
652 0.000847
657 0.000853
662 0.000859
667 0.000867
672 0.000873
677 0.000879
682 0.000886
687 0.000893
692 0.001244
697 0.000917
702 0.000915
707 0.000920
712 0.000926
717 0.000935
722 0.000941
727 0.000949
732 0.000956
737 0.000962
742 0.001197
747 0.000976
752 0.000982
757 0.000990
762 0.000997
767 0.001004
772 0.001010
777 0.001017
782 0.001025
787 0.001031
792 0.001100
797 0.001045
802 0.001052
807 0.001059
812 0.001066
817 0.001086
822 0.001099
827 0.001115
832 0.001169
837 0.001123
842 0.001108
847 0.001114
852 0.001122
857 0.001127
862 0.001134
867 0.001141
872 0.001148
877 0.001156
882 0.001199
887 0.001170
892 0.001175
897 0.001182
902 0.001202
907 0.001196
912 0.001235
917 0.001211
922 0.001216
927 0.001348
932 0.001259
937 0.001257
942 0.001245
947 0.001287
952 0.001305
957 0.001299
962 0.001305
967 0.001386
972 0.001287
977 0.001293
982 0.001331
987 0.001335
992 0.001348
997 0.001359
1002 0.001376
1007 0.001509
1012 0.001383
1017 0.001350
1022 0.001358
1027 0.001418
1032 0.001415
1037 0.001417
1042 0.001434
1047 0.001422
1052 0.001399
1057 0.001423
1062 0.001450
1067 0.001450
1072 0.001476
1077 0.001482
1082 0.001527
1087 0.001447
1092 0.001498
1097 0.001499
1102 0.001538
1107 0.001503
1112 0.001482
1117 0.001491
1122 0.001500
1127 0.001530
1132 0.001518
1137 0.001877
1142 0.001526
1147 0.001542
1152 0.001613
1157 0.001549
1162 0.001701
1167 0.001569
1172 0.001568
1177 0.001573
1182 0.001581
1187 0.001587
1192 0.001594
1197 0.001602
1202 0.001610
1207 0.001617
1212 0.001623
1217 0.001631
1222 0.001696
1227 0.001646
1232 0.001715
1237 0.001684
1242 0.001683
1247 0.001674
1252 0.001680
1257 0.001754
1262 0.001700
1267 0.001700
1272 0.001707
1277 0.001748
1282 0.001782
1287 0.001790
1292 0.001737
1297 0.001784
1302 0.001788
1307 0.001801
1312 0.001827
1317 0.001823
1322 0.001907
1327 0.001898
1332 0.001891
1337 0.001837
1342 0.001807
1347 0.001822
1352 0.001956
1357 0.001827
1362 0.001834
1367 0.001841
1372 0.001948
1377 0.001926
1382 0.001948
1387 0.001914
1392 0.001942
1397 0.001979
1402 0.001938
1407 0.001996
1412 0.002061
1417 0.001931
1422 0.001948
1427 0.001925
1432 0.001934
1437 0.001963
1442 0.002065
1447 0.001957
1452 0.001962
1457 0.001968
1462 0.001975
1467 0.001983
1472 0.002203
1477 0.002024
1482 0.002360
1487 0.002273
1492 0.002083
1497 0.002033
1502 0.002632
1507 0.002062
1512 0.002133
1517 0.002355
1522 0.002061
1527 0.002076
1532 0.002077
1537 0.002083
1542 0.002105
1547 0.002468
1552 0.002115
1557 0.002112
1562 0.002120
1567 0.002127
1572 0.002135
1577 0.002138
1582 0.002157
1587 0.002154
1592 0.002195
1597 0.002173
1602 0.002210
1607 0.002310
1612 0.002340
1617 0.002779
1622 0.002251
1627 0.002373
1632 0.002399
1637 0.002342
1642 0.002894
1647 0.002383
1652 0.002282
1657 0.002254
1662 0.002294
1667 0.003683
1672 0.002351
1677 0.002282
1682 0.002297
1687 0.002544
1692 0.002320
1697 0.002348
1702 0.002393
1707 0.002405
1712 0.002501
1717 0.002399
1722 0.002494
1727 0.002500
1732 0.002491
1737 0.002710
1742 0.002764
1747 0.002489
1752 0.002502
1757 0.002394
1762 0.003475
1767 0.002489
1772 0.002499
1777 0.002467
1782 0.002497
1787 0.002522
1792 0.002444
1797 0.002452
1802 0.002495
1807 0.002829
1812 0.002510
1817 0.002554
1822 0.002488
1827 0.002617
1832 0.002521
1837 0.002542
1842 0.002517
1847 0.002586
1852 0.002544
1857 0.002717
1862 0.002545
1867 0.002550
1872 0.002717
1877 0.002577
1882 0.002584
1887 0.002581
1892 0.002800
1897 0.002643
1902 0.002673
1907 0.002698
1912 0.002685
1917 0.002655
1922 0.002816
1927 0.002856
1932 0.002829
1937 0.002916
1942 0.002887
1947 0.002779
1952 0.002789
1957 0.002815
1962 0.002757
1967 0.002777
1972 0.003707
1977 0.002720
1982 0.002737
1987 0.002746
1992 0.002753
1997 0.002796
2002 0.002747
2007 0.002789
2012 0.003388
2017 0.002981
2022 0.002777
2027 0.002781
2032 0.004572
2037 0.003060
2042 0.002802
2047 0.002920
2052 0.002843
2057 0.002824
2062 0.002832
2067 0.005901
2072 0.005497
2077 0.005569
2082 0.003688
2087 0.004703
2092 0.003243
2097 0.003023
2102 0.003025
2107 0.002968
2112 0.003177
2117 0.003065
2122 0.003669
2127 0.003233
2132 0.002954
2137 0.003145
2142 0.003072
2147 0.003027
2152 0.003030
2157 0.002967
2162 0.003058
2167 0.003007
2172 0.004126
2177 0.003177
2182 0.003079
2187 0.003071
2192 0.003236
2197 0.003027
2202 0.003037
2207 0.003248
2212 0.003213
2217 0.003197
2222 0.003219
2227 0.003279
2232 0.003085
2237 0.003115
2242 0.003205
2247 0.003382
2252 0.003348
2257 0.003315
2262 0.003456
2267 0.004452
2272 0.003293
2277 0.004220
2282 0.003565
2287 0.003267
2292 0.003164
2297 0.003642
2302 0.003647
2307 0.003947
2312 0.003905
2317 0.003507
2322 0.003295
2327 0.003241
2332 0.003478
2337 0.003288
2342 0.003524
2347 0.003264
2352 0.003494
2357 0.003345
2362 0.003382
2367 0.003436
2372 0.003281
2377 0.003466
2382 0.003453
2387 0.005564
2392 0.003350
2397 0.003781
2402 0.004139
2407 0.003398
2412 0.003333
2417 0.003549
2422 0.003485
2427 0.003379
2432 0.003480
2437 0.004161
2442 0.006351
2447 0.003928
2452 0.003433
2457 0.003450
2462 0.003531
2467 0.004295
2472 0.004378
2477 0.003901
2482 0.003776
2487 0.003475
2492 0.003451
2497 0.003585
2502 0.003783
2507 0.003661
2512 0.003652
2517 0.005046
2522 0.003667
2527 0.003794
2532 0.003680
2537 0.003666
2542 0.003895
2547 0.003712
2552 0.003664
2557 0.003934
2562 0.003712
2567 0.003735
2572 0.003779
2577 0.003793
2582 0.003741
2587 0.003702
2592 0.003619
2597 0.003807
2602 0.003830
2607 0.003940
2612 0.003808
2617 0.003851
2622 0.003874
2627 0.003898
2632 0.003825
2637 0.004471
2642 0.003709
2647 0.003836
2652 0.003840
2657 0.004189
2662 0.003699
2667 0.003739
2672 0.003925
2677 0.003859
2682 0.003953
2687 0.004114
2692 0.003932
2697 0.003822
2702 0.004028
2707 0.004131
2712 0.003769
2717 0.004074
2722 0.003891
2727 0.003917
2732 0.004097
2737 0.004018
2742 0.004099
2747 0.004064
2752 0.004154
2757 0.004148
2762 0.004024
2767 0.005462
2772 0.003967
2777 0.004038
2782 0.003943
2787 0.004091
2792 0.004130
2797 0.004168
2802 0.004028
2807 0.004151
2812 0.004114
